,model_name,model_title,price,rating_count,avg_rating,Screen Size,Color Gamut (Typ.),Aspect Ratio,Display Resolution,Resolution,Brightness,Contrast Ratio,Surface Treatment,HDMI,DisplayPort,Headphone Out,Color Weakness Mode,Black Stabilizer,Dynamic Action Sync,Flicker Safe,Smart Energy Saving,Reader Mode,Color Calibrated,Dual Controller,On Screen Control (OSC),Wide Color Gamut,Color Depth (Number of Colors),Pixel Pitch (mm),Speaker,2020 Model,NVIDIA G-Sync™,1ms Motion Blur Reduction,Display Type,Super Resolution+,Curved,freesync,freesync_premium,freesync_premium_pro,HDR,response_time_ms,refresh_rate(hz)
0,27UP650-W,LG 27” UHD IPS Monitor with VESA DisplayHDR 400 (27UP650-W) | LG USA,450.0,0.0,NaN,27.0,DCI-P3 95% (CIE1976),16:9,UHD,3840 x 2160,320cd (Min)/400cd (Typ),"1000:1 (Min.), 1200:1 (Typ.)",Anti-Glare,1,1,1,1,1,1,1,1,1,1,1,1,1,1.07B,0.155,0,0,0,0,IPS,0,0,1,0,0,1,5,60
1,32UL500-W,32” UHD HDR10 Monitor with AMD FreeSync™,349.99,25.0,4.6,32.0,DCI-P3 95% (CIE1976),16:9,4K,3840 x 2160,300cd/m²,3000:1,Anti-Glare,1,1,1,1,1,1,1,1,1,1,1,1,1,1.07B,0.181,1,1,0,0,VA,0,0,1,0,0,1,4,60
2,32UP550-W,LG 32'' UHD HDR Monitor with USB-C Connectivity (32UP550-W) | LG USA,450.0,0.0,NaN,32.0,DCI-P3 90% (CIE1976),16:9,UHD,3840 x 2160,280cd (Min)/350cd (Typ),"1800:1 (Min.), 3000:1 (Typ.)",Anti-Glare,1,1,1,1,1,1,1,1,1,0,1,1,1,1.07B,0.181,1,0,0,0,VA,1,0,1,0,0,1,4,60
3,27GL850-B,LG 27GL850 27'' UltraGear™ Nano IPS 1ms Gaming Monitor with G-Sync® Compatibility,399.99,99.0,4.4,27.0,DCI-P3 98% (CIE1976),16:9,QHD,2560x1440,350cd (typ) / 280cd (Min),"700:1 (Min.), 1000:1 (Typ.)","Haze 25%, 3H",2,1,1,0,1,1,1,1,1,1,0,0,1,1.07B,0.233,0,0,1,1,IPS,1,0,0,0,0,1,1,144
4,32GP850-B,32'' UltraGear QHD Nano IPS 1ms 165Hz HDR Monitor with G-SYNC® Compatibility,599.99,57.0,4.7,32.0,DCI-P3 98% (CIE1976),16:9,QHD,2560 x 1440,280cd (Min)/350cd (Typ),"700:1 (Min.), 1000:1 (Typ.)",Anti Glare,1,1,1,0,1,1,1,1,1,1,0,1,1,1.07B,0.272,0,0,1,0,IPS,0,0,0,1,0,1,1,165
5,27GP850-B,27'' UltraGear QHD Nano IPS 1ms 165Hz HDR Monitor with G-SYNC® Compatibility,499.99,57.0,4.9,27.0,DCI-P3 98% (CIE1976),16:9,QHD,2560 x 1440,320cd (Min)/400cd (Typ),"700:1 (Min.), 1000:1 (Typ.)",Anti-Glare,1,1,1,0,1,1,1,1,1,1,0,1,1,1.07B,0.233,0,0,1,0,IPS,0,0,0,1,0,1,1,165
6,27MP60G-B,LG 27'' FHD IPS Monitor with FreeSync™ (27MP60G-B) | LG USA,179.99,0.0,NaN,27.0,NTSC 72% (CIE1931),16:9,FHD,1920 x 1080,250cd (typ)/200cd (Min),"600:1 (Min.), 1000:1 (Typ.)",Anti-Glare,1,1,1,1,1,1,1,1,1,0,0,1,0,16.7M,0.311,0,0,0,0,Nano IPS,1,0,1,0,0,0,5,75
7,24QP500-B,LG 24'' QHD IPS HDR 10 Monitor with FreeSync™ (24QP500-B) | LG USA,199.99,0.0,NaN,24.0,sRGB 99% Color Gamut,16:9,QHD,2560x1440,240cd (Min)/300cd (Typ),"700:1 (Min.), 1000:1 (Typ.)",Anti-Glare,1,1,1,1,1,1,1,1,1,0,1,1,0,16.7M,0.205,0,0,0,0,IPS,0,0,1,0,0,1,5,75
8,27ML600M-B,27” FHD IPS 3-Side Borderless Monitor with Dual HDMI,199.99,7.0,5.0,27.0,NTSC 72% (CIE1931),16:9,FHD,1920 x 1080,250cd (Typ.)/200cd (Min.),"600:1 (Min.), 1000:1 (Typ.)","Anti-Glare, 3H",2,0,1,1,1,1,1,1,1,1,0,1,0,16.7M,0.311,0,0,0,1,IPS,0,0,1,0,0,0,5,60
9,27GN750-B,27” UltraGear FHD IPS 1ms 240Hz G-Sync Compatible HDR10 3-Side Virtually Borderless Gaming Monitor,399.99,25.0,4.7,27.0,sRGB 99% (CIE1931),16:9,FHD,1920 x 1080,400cd (Typ.)/320cd (Min.),"700:1 (Min.), 1000:1 (Typ.)","Haze 25%, 3H",2,1,1,0,1,1,1,1,1,1,0,1,0,16.7M,0.31,0,1,1,1,IPS,0,0,0,1,0,1,1,240
